station_id,nome,latitude,longitude,pixel_i,pixel_j
1,Vidigal,-22.9925,-43.23306,336,331
2,Urca,-22.95583,-43.16667,327,347
3,Rocinha,-22.98583,-43.245,334,328
4,Tijuca,-22.93194,-43.22167,320,334
5,Santa Teresa,-22.93167,-43.19639,320,340
6,Copacabana,-22.98639,-43.18944,335,342
7,Grajaú,-22.92222,-43.2675,318,323
8,Ilha do Governador,-22.81806,-43.21028,291,337
9,Penha,-22.84444,-43.27528,298,321
10,Madureira,-22.87333,-43.33889,305,306
11,Irajá,-22.82694,-43.33694,293,306
12,Bangu,-22.88028,-43.46583,307,275
13,Piedade,-22.89182,-43.31005,310,313
14,Jacarepaguá/Tanque,-22.9125,-43.36472,315,299
15,Saúde,-22.89606,-43.18786,311,342
16,Jardim Botânico,-22.97278,-43.22389,331,333
17,Barra/Barrinha,-23.00849,-43.29965,340,315
18,Jacarepaguá/Cidade de Deus,-22.94556,-43.36278,324,300
19,Barra/Riocentro,-22.97721,-43.39155,332,293
20,Guaratiba,-23.05028,-43.59472,351,244
21,Est. Grajaú/Jacarepaguá,-22.92556,-43.31583,319,311
22,Santa Cruz,-22.90944,-43.68444,315,222
23,Grande Méier,-22.89056,-43.27806,310,320
24,Anchieta,-22.82694,-43.40333,293,290
25,Grota Funda,-23.01444,-43.52139,342,261
26,Campo Grande,-22.90361,-43.56194,313,252
27,Sepetiba,-22.96889,-43.71167,330,215
28,Alto da Boa Vista,-22.96583,-43.27833,329,320
29,Av. Brasil/Mendanha,-22.85694,-43.54111,301,257
30,Recreio dos Bandeirantes,-23.01,-43.44056,341,281
31,Laranjeiras,-22.94056,-43.1875,323,342
32,São Cristóvão,-22.89667,-43.22167,311,334
33,Tijuca/Muda,-22.93278,-43.24333,321,329
